10th_percent,12th_percent,jee_rank,gender,cgpa,college_tier,college_name,branch,experience,experience_field,num_projects,expertise_level,num_internships,soft_skill_rating,aptitude_rating,dsa_level,num_hackathons,competitive_coding_solved,num_repos,github_activities,linkedin_posts,num_certifications,domain,referral,salary
84.9,84.1,5753,Male,8.6,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ECE,2,1.6,7,3,2,3,2,3,1,208,7,15,1,2,IoT Development,Yes,2468263
88.4,88.1,104670,Male,8.14,Tier 4 - Other,Local State College,Other,0,0.0,0,1,0,3,3,2,1,94,6,11,2,2,Management,No,563116
87.9,81.0,4733,Male,8.11,Tier 1 - Other IIT/Top NIT,IIIT Hyderabad,ME,0,0.0,6,1,0,3,5,3,1,111,2,6,2,2,Thermal Engineering,No,2374009
94.1,84.4,80059,Other,8.76,Tier 3 - Private/State,Manipal Institute,ECE,1,1.0,4,1,1,3,2,4,3,152,1,10,1,2,IoT Development,No,995052
93.4,74.7,1784,Male,9.43,Tier 1 - Top IIT,IIT Delhi,ME,0,0.0,6,1,1,3,3,2,1,111,6,9,1,0,Automotive,No,3477052
83.3,81.8,44007,Other,9.42,Tier 3 - Private/State,VIT Vellore,CSE,1,0.9,1,1,1,4,4,2,1,163,5,11,2,3,Machine Learning,No,826713
84.5,78.6,96020,Male,7.8,Tier 3 - Private/State,KIIT Bhubaneswar,EE,2,1.2,2,1,1,3,2,3,3,222,6,14,4,3,Power Systems,Yes,857030
87.1,84.9,8330,Male,8.64,Tier 1 - Other IIT/Top NIT,NIT Surathkal,CSE,1,0.7,7,2,0,2,3,3,1,150,5,15,3,1,Machine Learning,Yes,2231920
90.2,83.5,63420,Female,9.55,Tier 3 - Private/State,PES University,CSE,1,0.8,5,1,4,5,3,1,0,135,9,16,1,3,Full Stack,No,884416
81.0,84.2,32563,Other,8.72,Tier 2 - Mid Colleges,NSUT Delhi,CSE,2,1.1,5,2,2,4,3,2,4,189,7,9,3,4,Full Stack,No,1276241
86.4,84.6,27323,Male,7.73,Tier 2 - Mid Colleges,BIT Mesra,EE,1,0.7,1,1,2,4,4,2,1,142,5,8,2,4,Renewable Energy,No,1287709
84.5,78.8,171568,Male,8.56,Tier 4 - Other,Regional Institute,Other,0,0.0,3,1,0,4,3,2,0,114,8,5,4,2,Core Engineering,No,567509
81.9,79.7,17654,Female,8.16,Tier 2 - Mid Colleges,NIT Calicut,ECE,2,1.0,1,1,1,3,2,3,3,161,3,12,3,4,Embedded Systems,No,1317957
82.6,81.0,3291,Other,9.79,Tier 1 - Other IIT/Top NIT,IIT Hyderabad,EE,0,0.0,2,1,1,3,5,3,0,83,4,10,0,4,Smart Grids,No,2319465
85.8,72.8,12298,Other,9.51,Tier 2 - Mid Colleges,BIT Mesra,CSE,3,2.1,9,3,4,4,3,4,1,232,5,11,3,2,Cyber Security,No,1474862
84.6,77.4,22196,Male,8.29,Tier 2 - Mid Colleges,IIIT Bangalore,Other,2,1.9,5,2,4,2,5,2,2,202,7,17,2,4,Core Engineering,No,1219142
86.3,92.4,3627,Male,8.21,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ECE,1,0.4,6,1,0,4,5,3,1,138,7,15,2,2,Embedded Systems,No,2387596
94.8,78.3,27743,Female,9.26,Tier 2 - Mid Colleges,NIT Rourkela,CSE,0,0.0,2,1,1,4,1,3,0,111,8,10,2,0,Machine Learning,No,1323434
92.3,80.0,28451,Male,8.36,Tier 2 - Mid Colleges,Thapar University,Other,0,0.0,5,1,0,1,2,3,0,99,4,13,1,4,Core Engineering,No,1187226
82.4,81.1,21296,Male,7.84,Tier 2 - Mid Colleges,NSUT Delhi,EE,0,0.0,1,1,0,3,3,2,3,111,9,12,3,2,Power Systems,No,1240885
86.0,78.0,23909,Female,8.15,Tier 2 - Mid Colleges,BIT Mesra,ME,2,1.5,3,2,1,3,3,3,2,215,7,11,2,2,Robotics,No,1273137
77.4,72.1,6616,Male,8.33,Tier 1 - Other IIT/Top NIT,IIT Hyderabad,CSE,1,0.7,5,1,1,3,4,3,2,160,2,9,2,1,Cyber Security,No,2435061
84.1,74.8,13698,Female,7.86,Tier 2 - Mid Colleges,NIT Rourkela,CSE,2,1.9,4,2,1,3,3,3,2,183,5,11,3,3,Cyber Security,No,1275555
92.7,70.0,1549,Female,8.29,Tier 1 - Top IIT,IIT Kharagpur,EE,0,0.0,6,1,0,3,3,3,1,103,5,12,3,2,Renewable Energy,Yes,3430246
88.0,86.2,4912,Other,8.14,Tier 1 - Other IIT/Top NIT,NIT Trichy,EE,1,0.5,4,1,0,3,4,2,1,160,6,11,0,5,Smart Grids,Yes,2089847
87.9,93.8,25011,Male,7.25,Tier 2 - Mid Colleges,NSUT Delhi,CSE,2,1.1,3,1,3,3,3,1,0,217,9,11,2,0,Data Science,No,1208714
79.6,84.8,5974,Male,7.58,Tier 1 - Other IIT/Top NIT,IIIT Hyderabad,ECE,3,2.8,5,3,5,2,2,3,1,264,7,17,6,1,IoT Development,No,2404419
89.7,84.4,78421,Other,8.57,Tier 3 - Private/State,Manipal Institute,CSE,1,0.8,1,1,0,3,3,4,1,148,5,15,1,4,Cyber Security,No,946061
94.7,80.5,83607,Other,7.99,Tier 3 - Private/State,Jadavpur University,EE,1,0.7,4,1,1,2,3,4,2,124,3,24,1,4,Power Systems,No,882501
80.4,69.5,2403,Other,7.98,Tier 1 - Top IIT,IIT Bombay,CSE,0,0.0,2,1,2,3,2,3,2,84,7,7,3,2,Machine Learning,No,3534523
87.1,73.9,13870,Male,8.39,Tier 2 - Mid Colleges,Thapar University,ECE,3,2.5,4,3,3,3,3,4,4,238,10,13,4,2,IoT Development,No,1534353
93.6,93.9,10646,Female,7.89,Tier 2 - Mid Colleges,DTU Delhi,CSE,1,1.0,3,1,1,4,2,3,2,160,6,11,3,2,Machine Learning,No,1433978
85.0,87.5,51491,Female,6.79,Tier 3 - Private/State,Manipal Institute,EE,1,0.5,2,1,2,4,4,3,0,157,2,8,1,1,Renewable Energy,No,946085
82.0,74.8,18484,Female,7.94,Tier 2 - Mid Colleges,NIT Rourkela,ME,3,2.3,5,3,2,1,2,3,4,242,3,13,3,3,Robotics,No,1273524
92.2,82.3,16536,Female,8.26,Tier 2 - Mid Colleges,IIIT Bangalore,ME,2,1.9,4,2,0,3,2,1,1,206,4,14,1,4,Automotive,No,1143189
88.3,74.9,45186,Male,8.57,Tier 3 - Private/State,SRM Chennai,ME,4,1.5,12,3,2,3,4,3,2,284,7,16,4,2,Robotics,No,880515
88.1,75.1,42734,Male,8.97,Tier 3 - Private/State,KIIT Bhubaneswar,Other,0,0.0,0,1,0,4,4,1,0,114,9,8,4,1,Core Engineering,No,751146
82.0,67.3,94632,Female,9.01,Tier 3 - Private/State,KIIT Bhubaneswar,EE,1,0.7,8,2,2,4,3,4,1,153,6,18,4,3,Power Systems,No,1009539
94.1,86.7,13667,Female,8.88,Tier 2 - Mid Colleges,Thapar University,Other,0,0.0,2,1,2,4,3,2,4,93,9,10,0,2,Management,No,1257105
84.1,75.4,9901,Female,7.94,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ME,1,0.4,2,1,1,3,3,3,1,156,3,12,1,2,Thermal Engineering,No,2283717
84.9,66.8,7974,Other,8.18,Tier 1 - Other IIT/Top NIT,NIT Trichy,Other,1,0.4,6,1,3,1,1,2,1,159,4,12,2,4,Research,No,2116593
86.5,73.6,4675,Other,7.93,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ME,0,0.0,3,1,1,4,2,2,2,102,3,11,1,2,Automotive,No,2195056
81.7,82.0,7159,Male,8.35,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ME,1,0.6,2,1,3,3,4,1,1,138,2,10,0,4,Automotive,No,2060725
79.3,76.8,13367,Female,9.51,Tier 2 - Mid Colleges,Thapar University,ME,1,0.5,0,1,2,4,3,3,1,163,9,20,4,2,Robotics,No,1344883
82.7,84.5,72830,Male,8.35,Tier 3 - Private/State,SRM Chennai,CSE,0,0.0,8,1,1,3,4,1,1,105,3,14,2,4,Data Science,No,752635
85.5,88.8,65751,Female,7.82,Tier 3 - Private/State,Manipal Institute,Other,4,4.0,4,4,3,4,5,3,2,305,7,12,1,0,Research,No,927910
82.6,79.3,80759,Male,9.56,Tier 3 - Private/State,SRM Chennai,Other,1,0.9,4,1,2,4,3,2,3,148,7,10,3,3,Core Engineering,No,880438
81.5,78.0,4247,Male,7.87,Tier 1 - Other IIT/Top NIT,NIT Trichy,ME,2,1.8,4,2,1,2,3,4,1,200,9,11,3,6,Robotics,No,2465880
81.5,89.2,134478,Male,7.56,Tier 4 - Other,Local State College,CSE,4,3.9,4,4,3,4,4,4,1,296,2,9,3,2,Data Science,Yes,680999
85.2,75.3,17696,Other,9.3,Tier 2 - Mid Colleges,NSUT Delhi,EE,0,0.0,3,1,1,3,3,2,2,98,3,13,2,2,Renewable Energy,No,1245718
82.7,75.1,5306,Other,7.58,Tier 1 - Other IIT/Top NIT,IIT Roorkee,CSE,1,0.4,5,1,1,2,2,4,2,147,4,14,3,5,Full Stack,No,2426259
85.9,83.0,8592,Male,8.68,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ECE,1,1.0,3,1,3,4,2,4,2,156,5,12,1,3,IoT Development,Yes,2732661
83.4,79.8,98670,Male,8.35,Tier 3 - Private/State,SRM Chennai,CSE,0,0.0,3,1,1,3,4,2,2,114,5,10,5,2,Data Science,Yes,809117
80.5,88.2,5623,Other,9.03,Tier 1 - Other IIT/Top NIT,NIT Warangal,CSE,1,0.8,4,1,2,4,4,3,4,158,6,10,0,1,Full Stack,No,2395322
80.9,68.6,1112,Other,9.46,Tier 1 - Top IIT,IIT Bombay,EE,1,1.0,5,2,3,5,5,2,0,142,2,6,2,3,Renewable Energy,No,3526567
89.6,69.2,21517,Male,9.77,Tier 2 - Mid Colleges,NSUT Delhi,Other,2,1.4,3,2,3,3,4,2,2,193,5,11,1,3,Core Engineering,No,1284961
87.0,80.9,5759,Male,8.44,Tier 1 - Other IIT/Top NIT,IIIT Hyderabad,ME,2,1.6,2,2,1,4,3,3,2,202,4,13,4,5,Automotive,No,2479846
87.8,74.3,43639,Other,8.42,Tier 3 - Private/State,VIT Vellore,Other,3,1.2,4,2,1,4,5,3,1,247,4,17,6,1,Management,No,960039
78.6,82.0,64013,Male,8.62,Tier 3 - Private/State,PES University,ME,2,1.8,3,2,1,2,3,3,0,196,6,7,2,3,Automotive,Yes,896264
84.5,79.4,58992,Female,8.54,Tier 3 - Private/State,Manipal Institute,CSE,1,0.4,2,1,1,2,3,2,1,155,6,6,5,2,Machine Learning,No,786025
77.4,68.1,14502,Female,8.02,Tier 2 - Mid Colleges,NIT Rourkela,ME,2,1.4,4,2,1,4,2,1,4,182,6,12,2,1,Automotive,No,1230541
79.4,79.7,37067,Male,8.07,Tier 2 - Mid Colleges,IIIT Bangalore,ME,2,0.7,4,1,2,4,2,3,1,205,8,9,4,3,Robotics,Yes,1357924
91.7,88.3,24660,Female,8.41,Tier 2 - Mid Colleges,NIT Calicut,CSE,5,3.1,7,4,1,3,3,3,4,365,11,15,4,2,Data Science,No,1291857
84.4,83.2,24122,Female,8.1,Tier 2 - Mid Colleges,Thapar University,Other,1,0.8,7,2,2,4,4,2,1,150,9,7,4,1,Management,Yes,1342574
85.9,88.6,19921,Female,8.98,Tier 2 - Mid Colleges,NSUT Delhi,ECE,2,0.6,6,1,1,3,3,3,2,196,7,10,4,0,IoT Development,Yes,1396300
92.0,77.3,19387,Male,8.91,Tier 2 - Mid Colleges,BIT Mesra,CSE,2,0.9,4,1,2,2,3,3,2,187,4,7,3,1,Data Science,Yes,1252976
85.5,94.3,12777,Male,8.72,Tier 2 - Mid Colleges,DTU Delhi,Other,3,0.8,1,1,2,2,2,2,1,246,4,12,4,3,Core Engineering,No,1170171
83.1,82.0,6184,Female,7.79,Tier 1 - Other IIT/Top NIT,NIT Trichy,CSE,0,0.0,3,1,2,2,2,1,0,112,5,8,3,6,Data Science,No,1932829
84.3,82.9,2561,Other,8.95,Tier 1 - Other IIT/Top NIT,NIT Trichy,ECE,0,0.0,2,1,2,2,2,1,1,117,5,6,1,2,Embedded Systems,No,2036350
92.1,79.0,118887,Male,8.24,Tier 4 - Other,Local State College,CSE,1,0.9,3,1,0,2,4,2,2,135,6,16,2,0,Cyber Security,No,511047
89.8,81.7,10063,Other,7.27,Tier 2 - Mid Colleges,DTU Delhi,ME,3,2.1,11,4,4,3,4,2,1,215,9,13,3,4,Thermal Engineering,Yes,1284101
88.4,90.7,38368,Female,9.21,Tier 2 - Mid Colleges,BIT Mesra,ME,2,2.0,6,3,1,3,3,2,2,218,4,10,7,3,Robotics,Yes,1270079
83.0,72.3,9454,Other,8.78,Tier 1 - Other IIT/Top NIT,IIT Hyderabad,Other,4,2.6,3,3,4,1,3,3,1,297,5,15,2,3,Management,No,2378856
81.4,75.7,3246,Female,9.76,Tier 1 - Other IIT/Top NIT,IIT Guwahati,ME,0,0.0,1,1,0,3,4,2,0,86,5,9,6,2,Thermal Engineering,No,2150420
87.6,78.4,19231,Female,8.48,Tier 2 - Mid Colleges,DTU Delhi,ME,3,1.0,2,1,2,4,3,3,0,255,7,15,3,3,Automotive,No,1339462
83.5,77.5,1980,Female,8.17,Tier 1 - Top IIT,IIT Madras,ECE,1,0.9,4,1,2,4,4,1,1,174,6,9,6,4,VLSI Design,No,3159766
93.1,77.4,8665,Male,8.31,Tier 1 - Other IIT/Top NIT,NIT Trichy,ECE,0,0.0,3,1,0,4,2,4,1,105,3,12,4,3,IoT Development,No,2610474
83.8,82.2,21132,Male,8.68,Tier 2 - Mid Colleges,NSUT Delhi,ECE,0,0.0,3,1,0,3,3,2,1,87,9,5,1,2,IoT Development,Yes,1156904
82.9,79.6,33906,Female,8.82,Tier 2 - Mid Colleges,IIIT Bangalore,CSE,2,1.0,4,1,5,2,3,3,0,191,5,19,2,2,Data Science,No,1457547
83.3,68.5,43045,Female,9.37,Tier 3 - Private/State,SRM Chennai,ME,2,1.7,7,3,3,3,4,4,1,212,7,12,3,2,Thermal Engineering,No,1020209
73.7,73.7,46459,Male,8.2,Tier 3 - Private/State,Manipal Institute,Other,3,1.3,4,2,2,3,3,2,1,245,9,15,4,2,Research,No,842643
82.2,72.2,14626,Male,9.15,Tier 2 - Mid Colleges,NSUT Delhi,CSE,0,0.0,3,1,0,2,4,2,0,97,7,12,1,3,Data Science,No,1201150
93.5,77.2,10862,Female,9.05,Tier 2 - Mid Colleges,Thapar University,ME,2,0.8,6,2,1,1,3,3,1,188,6,15,5,1,Thermal Engineering,Yes,1259259
87.0,74.6,8383,Male,8.1,Tier 1 - Other IIT/Top NIT,IIT Guwahati,CSE,0,0.0,4,1,1,3,4,2,2,82,6,12,3,0,Machine Learning,No,2303092
87.4,87.5,40684,Female,7.8,Tier 3 - Private/State,VIT Vellore,EE,4,2.2,6,3,2,3,3,2,0,299,6,16,4,4,Power Systems,No,819984
83.9,88.3,49825,Other,8.98,Tier 3 - Private/State,SRM Chennai,ME,0,0.0,1,1,0,3,3,2,3,79,5,12,3,1,Robotics,No,779714
94.3,88.7,8385,Male,9.07,Tier 1 - Other IIT/Top NIT,NIT Trichy,ECE,1,0.6,2,1,1,4,1,2,2,153,5,12,2,2,VLSI Design,No,2244405
89.3,66.3,5255,Female,8.75,Tier 1 - Other IIT/Top NIT,NIT Trichy,CSE,2,0.8,4,1,2,3,3,3,2,178,3,16,5,1,Machine Learning,Yes,2405264
90.5,88.4,68477,Other,7.63,Tier 3 - Private/State,VIT Vellore,ME,1,0.5,5,1,2,3,2,2,0,166,4,10,2,1,Thermal Engineering,No,837979
83.8,83.0,28657,Female,7.95,Tier 2 - Mid Colleges,DTU Delhi,EE,5,1.0,7,2,2,3,2,2,1,369,9,13,7,1,Power Systems,No,1285499
83.3,83.4,16245,Other,9.05,Tier 2 - Mid Colleges,NIT Calicut,ECE,1,0.2,0,1,4,4,2,2,1,148,6,12,2,0,IoT Development,No,1360898
85.0,81.2,20516,Other,10.72,Tier 2 - Mid Colleges,DTU Delhi,Other,4,3.3,6,4,3,4,2,2,4,306,8,24,5,2,Management,No,1284493
81.0,73.3,8549,Other,7.35,Tier 1 - Other IIT/Top NIT,NIT Warangal,ME,0,0.0,1,1,0,3,3,4,2,105,3,9,3,1,Automotive,No,2560732
85.6,71.8,44848,Female,10.0,Tier 3 - Private/State,SRM Chennai,CSE,0,0.0,0,1,0,1,2,5,1,102,5,6,2,2,Cyber Security,No,972997
87.6,83.5,22943,Other,8.5,Tier 2 - Mid Colleges,NIT Rourkela,CSE,2,1.5,4,2,0,2,3,4,3,190,6,16,1,2,Data Science,No,1377046
85.3,84.4,30289,Male,9.36,Tier 2 - Mid Colleges,DTU Delhi,CSE,2,0.8,5,1,1,1,4,2,1,179,4,11,3,2,Cyber Security,No,1096836
88.3,74.4,13315,Female,8.75,Tier 2 - Mid Colleges,NSUT Delhi,CSE,2,1.8,4,2,1,3,3,3,0,225,1,15,1,4,Data Science,No,1315479
88.4,79.0,150475,Male,9.43,Tier 4 - Other,Regional Institute,CSE,1,0.5,6,1,1,4,3,3,2,126,4,10,3,0,Full Stack,Yes,584632
78.8,81.6,26399,Male,8.01,Tier 2 - Mid Colleges,IIIT Bangalore,CSE,1,0.2,4,1,0,4,2,2,1,157,4,12,2,3,Full Stack,No,1203454
88.4,84.2,21767,Female,8.19,Tier 2 - Mid Colleges,IIIT Bangalore,ECE,1,0.4,2,1,0,4,4,2,3,161,10,14,0,3,Embedded Systems,No,1218921
85.0,88.6,1588,Other,9.29,Tier 1 - Top IIT,IIT Bombay,ME,2,0.7,6,1,2,3,4,2,1,203,6,15,3,3,Automotive,No,3339108
79.0,86.2,25310,Female,8.73,Tier 2 - Mid Colleges,BIT Mesra,CSE,3,2.0,4,2,2,3,4,1,5,252,6,14,0,2,Cyber Security,No,1124474
77.0,78.5,25730,Female,6.52,Tier 2 - Mid Colleges,NIT Calicut,ECE,1,0.3,3,1,2,3,3,1,1,159,5,10,3,4,Embedded Systems,No,1171997
83.4,85.2,59752,Male,8.6,Tier 3 - Private/State,KIIT Bhubaneswar,ME,1,0.1,7,1,1,4,4,3,2,141,7,11,0,3,Thermal Engineering,No,875082
91.0,81.3,250000,Male,9.0,Tier 4 - Other,Private Engineering College,ECE,0,0.0,4,1,0,4,3,3,1,110,7,11,1,1,Embedded Systems,No,599479
77.1,85.7,41078,Other,7.4,Tier 3 - Private/State,SRM Chennai,ME,1,1.0,2,1,0,3,3,3,4,149,8,8,2,0,Automotive,No,828659
84.4,78.5,78403,Other,9.1,Tier 3 - Private/State,VIT Vellore,EE,2,0.8,3,1,1,4,2,3,1,198,5,8,1,2,Power Systems,No,923518
86.1,76.9,2383,Other,8.34,Tier 1 - Top IIT,IIT Delhi,Other,1,0.4,3,1,1,3,3,3,2,138,5,12,2,2,Research,Yes,3565092
80.8,84.5,35567,Male,8.52,Tier 2 - Mid Colleges,NSUT Delhi,CSE,1,0.1,5,1,2,4,2,2,1,156,9,15,1,4,Cyber Security,No,1281306
75.1,74.8,13615,Female,8.87,Tier 2 - Mid Colleges,Thapar University,CSE,2,1.9,1,2,2,2,4,3,3,217,4,10,0,2,Data Science,No,1276916
82.0,86.4,45228,Female,9.76,Tier 3 - Private/State,SRM Chennai,EE,1,0.6,5,1,4,3,3,4,4,148,3,11,2,2,Renewable Energy,No,1046466
87.4,67.8,6916,Female,8.07,Tier 1 - Other IIT/Top NIT,IIT Guwahati,Other,0,0.0,1,1,2,2,3,3,2,89,5,9,2,5,Management,No,2438484
76.8,73.7,33726,Other,7.05,Tier 2 - Mid Colleges,Thapar University,ECE,2,1.9,5,2,0,2,4,2,0,193,10,9,2,1,IoT Development,No,1218967
83.2,70.9,3586,Other,10.24,Tier 1 - Other IIT/Top NIT,IIT Roorkee,Other,0,0.0,4,1,2,1,4,3,0,82,5,11,2,1,Core Engineering,No,2316633
83.1,66.2,8739,Male,8.04,Tier 1 - Other IIT/Top NIT,IIT Roorkee,Other,0,0.0,3,1,2,3,4,2,1,95,2,10,2,1,Core Engineering,No,2182174
86.6,70.2,16877,Other,8.15,Tier 2 - Mid Colleges,BIT Mesra,CSE,2,1.6,4,2,0,4,5,3,3,212,3,15,1,4,Machine Learning,No,1331076
85.7,83.0,37825,Other,7.93,Tier 2 - Mid Colleges,NIT Rourkela,CSE,2,1.7,6,2,1,3,4,2,1,186,7,10,1,5,Machine Learning,No,1205762
