10th_percent,12th_percent,jee_rank,gender,experience,experience_field,engineering_field,college_tier,num_projects,expertise_level,num_internships,soft_skill_rating,aptitude_rating,dsa_level,num_hackathons,competitive_coding_solved,num_repos,github_activities,linkedin_posts,num_certifications,cgpa,domain,referral,salary
84.9,85.0,10564,Female,0,0.0,Civil,Top IIT,0,1,1,3,4,2,1,97,6,11,3,1,5.96,Full Stack,Yes,2256081
91.8,87.3,8838,Female,2,0.6,Electrical,Top IIT,0,3,1,3,3,4,0,71,6,10,5,3,6.75,Full Stack,No,3179169
73.8,75.5,4217,Female,2,1.4,Civil,Top IIT,0,2,2,3,4,2,1,146,2,7,5,2,4.92,Full Stack,No,2433074
93.3,87.7,20573,Female,2,1.3,Electrical,Mid IIT,0,3,4,2,4,3,2,60,1,14,3,0,3.16,Other,Yes,1639767
87.8,89.4,965,Female,0,0.0,Mechanical,Top IIT,1,1,3,2,3,2,3,119,7,10,2,0,1.98,Other,No,2297242
66.9,60.0,11824,Female,2,1.8,Computer Science,Top IIT,1,4,2,3,3,1,1,60,1,13,3,1,2.46,Machine Learning,Yes,5213319
83.9,83.0,5719,Female,1,1.0,Computer Science,Top IIT,0,1,1,4,4,4,0,106,4,10,2,0,4.51,Other,No,4027682
80.0,78.0,1334,Female,1,0.9,Civil,Top IIT,1,2,1,3,3,3,3,51,5,9,3,4,6.6,Machine Learning,No,2566452
62.8,60.0,2038,Female,1,0.3,Computer Science,Top IIT,0,1,2,4,2,1,3,105,5,9,2,1,4.2,Android Development,Yes,4105287
66.3,62.0,5851,Male,0,0.0,Computer Science,Top IIT,3,1,1,3,4,5,0,101,6,6,5,0,6.53,Other,No,4119649
72.3,71.1,197251,Male,0,0.0,Electrical,Private College,0,2,0,2,3,2,0,109,6,7,4,2,4.66,Other,No,300000
78.0,71.7,1231,Male,0,0.0,Computer Science,Top IIT,0,2,2,2,4,3,5,130,5,10,1,1,4.52,Other,Yes,4373333
68.1,74.7,2022,Female,2,1.1,Mechanical,Top IIT,2,1,4,3,3,3,3,100,7,9,5,2,6.61,Android Development,No,4007566
73.0,65.8,9189,Female,0,0.0,Computer Science,Mid IIT,0,2,3,2,5,4,0,63,7,10,3,0,4.74,Other,No,2457868
86.9,89.9,4005,Male,3,1.0,Computer Science,Top IIT,4,1,1,3,4,3,1,30,5,15,3,1,2.95,Machine Learning,No,5945781
88.0,79.1,4760,Male,3,2.7,Computer Science,Top IIT,3,2,4,3,3,3,8,109,4,7,5,1,4.07,Other,No,5152847
87.3,84.5,7872,Female,2,1.5,Electronics,Top IIT,2,3,2,4,3,4,1,99,4,11,4,2,2.65,Machine Learning,No,3552979
96.6,100.0,448,Male,0,0.0,Computer Science,Top IIT,1,1,1,4,4,3,2,52,2,13,4,0,7.57,Machine Learning,No,4308757
80.9,81.3,1784,Male,0,0.0,Mechanical,Top IIT,1,2,2,3,4,4,3,109,6,9,4,4,3.6,Machine Learning,No,1973097
70.8,63.4,19996,Male,1,0.3,Mechanical,Top IIT,1,2,2,4,3,4,3,39,4,13,4,2,2.01,Other,No,2587553
86.5,76.9,15813,Male,1,0.4,Electronics,Top IIT,1,1,1,2,3,3,1,100,1,6,5,2,1.83,Android Development,No,3851123
93.7,92.4,3406,Male,0,0.0,Computer Science,Top IIT,2,1,3,3,3,1,2,92,6,18,2,0,8.34,Full Stack,Yes,3676750
85.6,80.9,45437,Female,4,0.8,Computer Science,Top IIT,1,2,0,3,4,3,2,56,4,15,3,1,4.47,Machine Learning,Yes,4490802
80.3,81.4,782,Female,1,0.2,Mechanical,Top IIT,1,2,2,4,3,2,4,70,3,8,1,0,2.27,Machine Learning,No,2681415
91.4,92.0,4165,Female,0,0.0,Computer Science,Top IIT,1,1,3,3,3,2,0,79,7,11,1,1,9.81,Other,No,3811943
79.3,75.6,2092,Male,1,0.5,Mechanical,Top IIT,0,1,1,4,2,5,2,73,7,6,3,4,4.55,Full Stack,Yes,2303009
71.8,66.9,9415,Female,0,0.0,Electrical,Top IIT,2,1,0,5,3,3,1,99,8,11,3,0,2.4,Machine Learning,Yes,2882539
81.3,83.0,2874,Male,1,0.2,Computer Science,Top IIT,0,2,2,4,3,3,3,44,4,11,1,0,5.06,Other,No,5060629
95.4,91.4,933,Female,2,1.1,Computer Science,Top IIT,1,3,2,4,3,2,2,63,7,13,4,2,6.82,Machine Learning,No,5140253
85.1,88.7,4200,Female,0,0.0,Computer Science,Top IIT,2,2,1,4,3,2,1,100,7,11,2,2,4.42,Machine Learning,No,3805162
86.8,91.4,54351,Male,4,1.2,Computer Science,Mid IIT,3,2,0,4,3,3,1,163,7,14,5,1,5.26,Machine Learning,Yes,2735224
75.0,72.8,3118,Male,0,0.0,Computer Science,Mid IIT,1,2,0,4,3,3,1,36,4,10,3,1,3.01,Machine Learning,No,1715630
66.2,60.0,147295,Female,1,0.2,Computer Science,Private College,1,1,2,3,2,2,0,107,7,10,2,2,2.76,Other,No,439944
61.4,70.4,1579,Female,0,0.0,Mechanical,Top IIT,1,1,0,3,3,3,2,88,4,13,1,0,4.96,Other,No,2277502
63.3,61.6,23646,Male,1,0.1,Civil,Top IIT,1,1,2,5,3,2,2,40,1,15,2,1,7.84,Android Development,No,2569950
89.5,75.8,2755,Male,0,0.0,Electronics,Top IIT,0,1,2,4,4,5,2,81,3,14,1,1,8.25,Full Stack,No,3945970
69.0,70.5,22086,Male,0,0.0,Mechanical,Top IIT,2,1,5,4,3,2,2,105,7,11,1,1,4.99,Other,No,2348215
80.4,74.2,57790,Female,1,0.5,Electrical,Top IIT,3,2,3,3,4,1,1,135,4,6,4,0,5.63,Other,Yes,3307984
84.1,72.5,2214,Female,1,0.4,Computer Science,Top IIT,0,1,2,3,4,3,1,117,10,11,0,1,2.93,Full Stack,Yes,3960436
80.6,78.3,2981,Female,1,0.3,Computer Science,Top IIT,3,2,4,5,5,4,1,106,3,14,5,2,7.48,Other,Yes,4823292
88.4,83.9,6748,Female,2,1.8,Computer Science,Top IIT,1,3,3,4,4,4,0,65,5,8,2,1,2.84,Full Stack,No,5389968
66.1,64.7,43474,Male,1,0.3,Electrical,Mid IIT,0,2,3,3,3,4,2,123,4,16,2,0,4.75,Other,No,1733396
63.2,60.0,38304,Female,2,0.2,Mechanical,Top IIT,0,1,2,3,5,4,3,80,5,8,3,1,2.86,Other,No,2527868
97.7,100.0,526,Male,2,0.4,Computer Science,Top IIT,1,1,3,3,4,4,1,90,3,13,4,0,8.1,Machine Learning,No,5305381
85.9,85.8,9011,Female,0,0.0,Computer Science,Top IIT,0,2,2,2,3,4,1,88,6,11,4,0,3.75,Machine Learning,Yes,3983007
82.7,75.3,2346,Male,1,0.8,Mechanical,Top IIT,4,1,1,3,3,2,2,117,5,12,4,3,5.36,Full Stack,Yes,2513204
64.0,60.0,6083,Male,0,0.0,Mechanical,Mid IIT,1,1,3,3,5,3,0,63,3,13,2,2,1.97,Full Stack,Yes,1074617
79.6,70.9,2944,Female,0,0.0,Mechanical,Top IIT,3,1,4,4,3,2,4,93,7,9,2,1,6.82,Android Development,No,2486751
71.1,68.3,2248,Female,1,1.0,Computer Science,Mid IIT,0,2,2,4,2,4,1,64,6,9,5,1,4.87,Machine Learning,No,2306307
79.9,72.0,5704,Male,0,0.0,Civil,Top IIT,1,1,0,4,3,3,1,18,6,8,1,2,6.36,Android Development,No,2286396
77.4,72.2,1305,Female,3,2.9,Civil,Top IIT,0,5,3,4,4,4,0,88,3,11,1,0,3.27,Android Development,No,2445999
86.8,87.2,2223,Female,2,1.7,Civil,Top IIT,3,2,2,3,2,5,4,109,2,13,7,2,3.31,Other,No,2722091
96.8,85.4,3479,Female,0,0.0,Mechanical,Top IIT,2,1,2,3,3,4,2,61,4,7,3,1,5.1,Android Development,Yes,2579254
62.6,60.0,420,Male,0,0.0,Mechanical,Mid IIT,2,1,1,3,3,3,2,91,4,9,3,3,4.2,Machine Learning,No,1253052
75.8,68.8,3019,Female,1,0.2,Electrical,Top IIT,0,1,1,4,4,3,2,62,6,7,3,0,2.88,Other,No,2622939
84.6,80.6,12829,Male,1,0.2,Mechanical,Mid IIT,1,1,4,3,5,3,1,113,8,5,3,3,4.12,Full Stack,Yes,1518739
79.9,70.5,6281,Female,0,0.0,Civil,Top IIT,0,1,3,2,2,3,3,95,8,6,3,4,7.22,Other,Yes,2476076
87.1,82.0,26346,Female,2,0.9,Computer Science,Top IIT,1,1,1,5,3,4,1,102,4,14,1,2,3.56,Machine Learning,No,4403713
82.0,82.0,14968,Male,0,0.0,Computer Science,Mid IIT,0,1,1,3,4,3,3,71,6,12,1,2,7.21,Android Development,No,2084363
91.7,83.3,1172,Female,0,0.0,Electrical,Top IIT,1,1,2,3,4,2,2,81,3,5,1,0,4.97,Android Development,No,3014217
82.3,72.2,1751,Female,2,0.3,Civil,Mid IIT,1,1,2,3,4,4,2,140,3,6,2,1,7.82,Full Stack,Yes,1453807
97.6,99.9,522,Female,0,0.0,Electronics,Top IIT,1,2,1,2,3,2,4,160,4,14,4,2,7.65,Full Stack,No,3121776
73.9,60.0,10770,Male,0,0.0,Computer Science,Mid IIT,0,1,1,3,3,2,2,63,6,8,2,0,5.6,Android Development,Yes,2152642
83.5,79.9,1763,Male,1,0.6,Computer Science,Top IIT,1,3,1,4,3,3,0,84,5,15,3,3,5.17,Android Development,No,3736972
88.9,72.9,5094,Female,1,0.6,Mechanical,Top IIT,0,1,0,2,4,3,2,62,6,12,4,1,5.64,Machine Learning,Yes,2612724
97.9,83.3,1086,Female,1,0.5,Mechanical,Top IIT,1,2,0,5,3,4,2,72,4,10,6,1,5.46,Machine Learning,No,2487848
79.4,73.2,30883,Male,1,0.8,Computer Science,Mid IIT,2,1,2,2,3,2,1,52,5,9,3,1,7.06,Android Development,No,3154359
79.5,83.5,3711,Male,1,0.7,Civil,Top IIT,2,3,2,5,4,3,2,26,7,10,2,0,4.72,Other,No,2452229
86.1,76.5,2271,Male,0,0.0,Computer Science,Top IIT,1,1,0,2,4,4,2,102,6,16,1,1,7.61,Android Development,No,3452790
95.8,90.7,37194,Female,0,0.0,Electrical,Top IIT,0,1,2,4,4,3,3,137,3,8,2,1,8.05,Other,No,2645929
73.8,60.0,4100,Female,3,2.2,Civil,Top IIT,4,2,5,3,3,4,2,101,4,8,2,2,3.0,Full Stack,Yes,2751655
70.2,72.1,1131,Female,1,0.7,Mechanical,Top IIT,3,2,1,4,4,3,1,103,6,8,5,0,6.43,Android Development,Yes,2493949
78.3,80.9,1645,Female,0,0.0,Computer Science,Mid IIT,0,1,0,1,3,4,1,70,4,5,1,1,3.16,Full Stack,No,1990804
93.3,92.3,1441,Female,0,0.0,Electrical,Top IIT,0,1,0,3,4,3,2,69,6,7,4,1,3.11,Machine Learning,No,2073929
81.9,87.3,8546,Male,2,0.2,Mechanical,Top IIT,1,1,1,3,3,1,2,134,5,8,2,2,5.31,Machine Learning,Yes,3255380
78.5,79.8,826,Male,2,0.4,Computer Science,Top IIT,1,1,2,4,3,4,2,124,6,9,5,0,6.23,Other,Yes,4579392
78.5,78.3,2422,Male,0,0.0,Computer Science,Top IIT,1,1,1,3,3,4,0,116,7,12,1,2,5.03,Android Development,No,3995481
92.0,87.5,429,Male,0,0.0,Computer Science,Top IIT,2,1,1,3,3,2,3,58,5,8,0,0,5.87,Android Development,No,3548882
79.9,63.8,57146,Female,0,0.0,Electronics,Mid IIT,1,1,3,4,4,2,3,107,2,9,3,1,7.68,Other,No,1868840
90.5,90.3,3856,Female,2,0.0,Civil,Top IIT,0,3,1,3,4,4,1,100,5,8,4,3,6.37,Other,Yes,2379551
84.6,72.1,706,Male,2,0.2,Civil,Top IIT,0,1,1,4,5,4,5,94,8,12,3,2,4.17,Other,No,2853151
83.8,82.5,17121,Female,0,0.0,Computer Science,Top IIT,1,1,4,4,4,2,2,79,5,9,2,1,8.47,Full Stack,No,5258849
85.7,89.5,1505,Female,1,0.7,Mechanical,Top IIT,1,3,1,4,3,3,1,81,1,6,2,3,6.76,Android Development,Yes,2392452
81.2,80.6,9410,Female,1,0.7,Computer Science,Top IIT,1,1,2,3,3,5,1,125,7,11,2,0,6.73,Android Development,Yes,4319317
