10th_percent,12th_percent,jee_rank,gender,cgpa,college_tier,college_name,branch,experience,experience_field,num_projects,expertise_level,num_internships,soft_skill_rating,aptitude_rating,dsa_level,num_hackathons,competitive_coding_solved,num_repos,github_activities,linkedin_posts,num_certifications,domain,referral,salary
78.1,74.9,38781,Other,8.47,Tier 2 - Mid Colleges,IIIT Bangalore,CSE,0,0,2,1,0,4,3,1,1,100,12,14,1,3,Full Stack,No,2127901
91.4,81.3,22799,Male,8.54,Tier 2 - Mid Colleges,DTU Delhi,ME,1,1,6,2,1,4,3,1,2,174,7,14,0,0,Robotics,No,1737510
77.8,64.6,9507,Other,8.85,Tier 1 - Other IIT/Top NIT,NIT Trichy,ME,1,0,4,1,2,3,2,2,3,155,4,20,6,3,Automotive,Yes,2810830
81.2,70.5,34543,Other,8.25,Tier 2 - Mid Colleges,NIT Calicut,ECE,1,1,0,1,2,4,2,3,0,128,7,9,0,2,Embedded Systems,No,2048839
80.0,78.0,20800,Other,9.94,Tier 2 - Mid Colleges,NIT Rourkela,EE,1,0,2,1,0,4,4,3,2,174,6,8,3,5,Power Systems,No,1853376
88.8,72.1,7187,Female,8.95,Tier 1 - Other IIT/Top NIT,NIT Surathkal,EE,1,0,7,1,1,4,4,1,1,166,5,21,3,5,Smart Grids,No,2641075
83.2,72.2,115394,Female,7.46,Tier 4 - Other,Regional Institute,ECE,1,1,3,1,1,4,4,3,2,147,6,8,2,2,Embedded Systems,Yes,1016492
86.7,87.0,66144,Other,6.18,Tier 3 - Private/State,VIT Vellore,CSE,2,0,6,1,2,3,2,3,3,208,6,13,4,6,Data Science,No,1687951
78.6,68.5,49123,Other,7.79,Tier 3 - Private/State,Manipal Institute,EE,1,0,6,1,1,4,5,4,1,149,6,16,1,2,Power Systems,No,1261178
80.1,86.8,7748,Male,8.01,Tier 1 - Other IIT/Top NIT,IIT Guwahati,EE,1,1,1,1,1,2,3,3,1,157,8,8,4,2,Smart Grids,No,2619914
81.6,82.0,42744,Other,7.83,Tier 3 - Private/State,VIT Vellore,ME,1,2,0,2,0,5,5,2,1,155,8,6,2,2,Thermal Engineering,Yes,1334467
78.9,80.2,10105,Male,7.88,Tier 2 - Mid Colleges,BIT Mesra,EE,0,0,5,1,1,3,3,3,0,105,3,13,3,2,Renewable Energy,No,1839069
85.4,85.5,7296,Male,8.56,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ECE,1,1,3,1,3,4,5,3,2,174,8,9,1,2,Embedded Systems,No,3510934
89.1,89.7,21374,Male,8.95,Tier 2 - Mid Colleges,NIT Calicut,Other,0,0,2,1,1,3,3,2,0,128,2,13,0,2,Core Engineering,No,1730841
81.9,77.9,4726,Male,8.19,Tier 1 - Other IIT/Top NIT,NIT Surathkal,ME,4,3,4,3,3,3,2,3,1,296,3,14,3,0,Thermal Engineering,No,3006007
82.8,73.9,1389,Male,6.68,Tier 1 - Top IIT,IIT Bombay,ECE,4,4,5,5,7,2,2,4,2,271,6,11,2,1,IoT Development,No,5505523
91.6,83.9,4476,Male,8.86,Tier 1 - Other IIT/Top NIT,IIT Guwahati,ME,0,0,6,1,2,5,1,1,2,95,4,14,5,1,Automotive,No,2584178
87.5,82.3,6332,Male,8.52,Tier 1 - Other IIT/Top NIT,IIIT Hyderabad,ME,1,0,6,1,0,3,3,3,1,153,6,11,2,4,Thermal Engineering,No,2756994
77.8,72.3,21513,Other,8.14,Tier 2 - Mid Colleges,NSUT Delhi,ECE,3,4,5,5,1,2,4,2,1,257,3,15,2,6,IoT Development,No,2226811
88.2,72.8,135420,Male,9.98,Tier 4 - Other,Local State College,Other,2,2,2,2,2,4,3,2,0,190,4,14,3,2,Management,No,792363
86.8,80.9,35672,Other,7.72,Tier 2 - Mid Colleges,NIT Rourkela,CSE,2,1,2,1,2,2,3,3,0,222,6,14,4,3,Machine Learning,Yes,2840821
82.8,87.1,47077,Male,10.0,Tier 3 - Private/State,KIIT Bhubaneswar,EE,0,0,2,1,2,3,4,5,1,99,4,7,1,2,Power Systems,No,1333150
83.5,69.1,6366,Male,9.21,Tier 1 - Other IIT/Top NIT,NIT Surathkal,CSE,2,2,8,3,3,3,3,2,0,208,5,14,2,3,Machine Learning,No,4197324
86.1,74.4,189379,Female,8.98,Tier 4 - Other,Regional Institute,CSE,4,4,4,4,2,3,4,2,5,292,5,16,2,7,Full Stack,Yes,1207014
87.0,78.3,5735,Other,9.04,Tier 1 - Other IIT/Top NIT,NIT Trichy,CSE,0,0,4,1,1,5,3,3,1,98,4,14,1,4,Full Stack,No,3323035
83.5,85.6,21519,Male,7.21,Tier 2 - Mid Colleges,BIT Mesra,EE,1,1,1,1,5,3,3,4,0,161,10,12,2,4,Renewable Energy,No,1874378
95.9,78.8,47587,Male,8.6,Tier 3 - Private/State,Manipal Institute,ME,3,1,4,1,1,3,2,2,2,235,7,8,5,2,Robotics,No,1224887
92.7,86.4,55627,Female,8.07,Tier 3 - Private/State,VIT Vellore,ECE,2,1,4,1,1,3,3,2,0,195,3,13,3,2,Embedded Systems,No,1327080
76.5,75.5,37433,Other,10.0,Tier 2 - Mid Colleges,DTU Delhi,ME,0,0,6,1,0,3,3,3,0,105,9,6,1,2,Thermal Engineering,No,1703787
92.0,76.1,106124,Other,8.33,Tier 4 - Other,Community College,CSE,1,1,4,1,1,3,3,2,2,184,7,19,2,0,Cyber Security,No,974080
76.0,76.2,149997,Male,7.87,Tier 4 - Other,Local State College,Other,0,0,4,1,0,3,5,4,0,87,3,10,4,2,Core Engineering,No,780816
83.3,84.4,30422,Male,8.2,Tier 2 - Mid Colleges,NIT Rourkela,ECE,1,0,3,1,4,4,3,2,2,150,4,13,1,6,Embedded Systems,No,2094610
82.3,86.0,73444,Female,8.91,Tier 3 - Private/State,SRM Chennai,CSE,0,0,2,1,3,4,3,2,1,100,6,10,1,2,Machine Learning,Yes,1842081
81.9,78.9,62786,Male,9.06,Tier 3 - Private/State,PES University,Other,2,0,5,1,4,2,2,3,0,174,4,15,0,4,Core Engineering,No,1189676
83.4,81.1,64080,Male,9.16,Tier 3 - Private/State,Manipal Institute,EE,1,0,6,1,2,2,2,3,1,157,9,11,1,3,Power Systems,No,1229566
83.4,77.2,96968,Female,8.89,Tier 3 - Private/State,Jadavpur University,ME,3,2,6,3,2,2,3,1,2,244,3,13,5,2,Robotics,Yes,1328076
85.5,90.8,928,Male,7.51,Tier 1 - Top IIT,IIT Delhi,CSE,0,0,3,1,0,2,2,2,2,115,9,9,1,3,Cyber Security,No,5144339
92.9,71.8,4638,Female,9.18,Tier 1 - Other IIT/Top NIT,IIT Roorkee,CSE,2,3,5,4,1,3,1,4,2,200,3,16,6,1,Cyber Security,No,3952893
87.1,80.1,138707,Female,7.99,Tier 4 - Other,Community College,ME,2,2,0,2,3,3,3,3,2,194,3,12,1,2,Automotive,No,798664
77.0,81.7,4389,Other,8.62,Tier 1 - Other IIT/Top NIT,NIT Trichy,EE,2,1,3,1,2,3,3,3,1,200,10,12,2,0,Smart Grids,No,2621738
72.0,81.4,44413,Male,8.85,Tier 3 - Private/State,Manipal Institute,CSE,2,1,2,1,2,3,2,1,1,212,1,9,4,2,Data Science,No,1555837
76.4,75.8,126966,Male,8.68,Tier 4 - Other,Community College,ME,2,3,5,4,2,3,2,3,0,227,11,22,3,7,Thermal Engineering,No,837707
88.5,82.9,5081,Other,8.89,Tier 1 - Other IIT/Top NIT,NIT Surathkal,CSE,1,0,5,1,1,3,3,2,1,154,5,13,0,2,Cyber Security,No,3445373
84.2,83.8,13112,Other,8.38,Tier 2 - Mid Colleges,BIT Mesra,EE,3,2,4,2,1,2,3,2,1,300,6,21,2,4,Power Systems,No,1920541
89.1,72.0,3867,Other,9.16,Tier 1 - Other IIT/Top NIT,IIT Roorkee,CSE,1,2,4,2,0,4,3,1,0,153,7,6,3,2,Machine Learning,No,3838079
91.5,85.7,144623,Male,7.72,Tier 4 - Other,Regional Institute,EE,0,0,2,1,0,3,4,2,2,92,8,11,2,1,Smart Grids,No,683187
89.1,78.1,131228,Female,9.39,Tier 4 - Other,Private Engineering College,CSE,2,2,3,2,2,4,3,3,1,191,5,8,4,0,Machine Learning,Yes,1255915
91.2,70.5,250000,Female,7.44,Tier 4 - Other,Private Engineering College,ME,2,3,6,4,3,2,2,3,0,217,2,14,2,2,Automotive,Yes,943143
81.5,71.2,53775,Female,8.33,Tier 3 - Private/State,VIT Vellore,ME,2,0,6,1,1,3,4,3,2,208,4,8,2,2,Robotics,No,1254997
81.2,94.2,20851,Female,9.27,Tier 2 - Mid Colleges,IIIT Bangalore,ME,1,0,3,1,5,4,3,1,0,149,7,10,3,3,Automotive,No,1704454
84.0,94.8,28382,Male,8.71,Tier 2 - Mid Colleges,IIIT Bangalore,ME,0,0,3,1,2,4,3,3,0,105,9,12,1,1,Robotics,No,1779285
89.5,73.6,22443,Male,9.72,Tier 2 - Mid Colleges,DTU Delhi,Other,3,3,8,4,2,3,3,3,0,224,11,11,4,2,Core Engineering,No,1943266
91.1,75.8,23868,Female,7.05,Tier 2 - Mid Colleges,DTU Delhi,EE,1,0,9,1,3,4,3,1,2,158,8,13,2,4,Power Systems,No,1674009
93.4,83.9,96475,Female,7.8,Tier 3 - Private/State,PES University,Other,3,0,5,1,7,3,3,2,0,254,11,18,3,0,Management,No,1285008
86.7,82.2,8866,Female,7.97,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ME,0,0,2,1,0,3,4,2,1,89,3,9,0,4,Thermal Engineering,No,2491040
80.8,84.0,21210,Other,7.07,Tier 2 - Mid Colleges,NSUT Delhi,Other,1,1,3,1,0,2,3,1,1,149,9,11,3,1,Research,No,1606361
82.5,82.4,157848,Other,8.71,Tier 4 - Other,Local State College,Other,2,0,3,1,3,2,3,4,0,185,5,14,2,4,Management,No,809785
91.1,75.5,41847,Male,8.87,Tier 3 - Private/State,VIT Vellore,Other,1,0,2,1,2,1,3,2,1,170,3,9,4,2,Management,Yes,1308930
77.2,77.9,116541,Female,8.7,Tier 4 - Other,Regional Institute,ME,1,0,6,1,3,2,3,3,0,151,9,20,4,1,Robotics,No,748539
78.7,76.7,8232,Male,7.58,Tier 1 - Other IIT/Top NIT,IIT Guwahati,CSE,1,0,4,1,0,2,4,4,1,140,6,9,1,7,Data Science,No,3846249
88.9,68.6,16583,Female,7.53,Tier 2 - Mid Colleges,NSUT Delhi,Other,0,0,7,1,2,3,5,1,1,95,3,11,0,2,Research,No,1630619
87.9,79.5,2715,Male,8.86,Tier 1 - Other IIT/Top NIT,IIT Guwahati,Other,1,0,5,1,2,2,3,1,1,149,7,17,1,2,Core Engineering,No,2548013
85.3,83.1,42705,Male,8.23,Tier 3 - Private/State,KIIT Bhubaneswar,ME,1,2,6,3,0,3,3,2,1,141,4,10,3,2,Robotics,No,1258040
92.1,90.3,114061,Male,8.05,Tier 4 - Other,Local State College,CSE,2,2,6,3,4,4,4,2,1,193,6,13,3,1,Data Science,No,1129428
79.2,78.0,5353,Other,8.26,Tier 1 - Other IIT/Top NIT,NIT Surathkal,ECE,2,1,4,1,0,2,3,3,3,182,3,15,0,3,Embedded Systems,No,3277890
83.7,85.9,38877,Other,6.8,Tier 2 - Mid Colleges,NIT Calicut,CSE,0,0,2,1,1,4,3,2,0,84,4,11,1,2,Full Stack,Yes,2306411
93.5,73.9,10006,Male,9.75,Tier 2 - Mid Colleges,NIT Calicut,ECE,0,0,4,1,1,2,4,2,1,92,4,13,3,4,IoT Development,No,1956152
86.0,86.5,86988,Male,8.93,Tier 3 - Private/State,SRM Chennai,CSE,2,1,4,1,3,4,4,2,1,217,4,7,1,5,Data Science,No,1800619
82.9,65.8,6344,Other,7.64,Tier 1 - Other IIT/Top NIT,NIT Warangal,CSE,1,0,4,1,2,5,4,2,1,130,8,9,3,3,Full Stack,No,3358539
83.1,81.6,7677,Other,9.02,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ME,0,0,2,1,1,4,3,3,0,106,4,9,0,1,Automotive,No,2569018
84.8,81.9,42824,Male,9.36,Tier 3 - Private/State,Manipal Institute,Other,3,2,8,3,2,3,2,2,0,255,5,13,1,0,Core Engineering,Yes,1424053
86.3,87.7,3433,Male,8.88,Tier 1 - Other IIT/Top NIT,IIIT Hyderabad,ME,0,0,2,1,1,2,3,2,1,115,3,12,3,3,Automotive,No,2431478
87.1,80.5,190162,Other,8.02,Tier 4 - Other,Local State College,Other,1,0,3,1,3,3,3,3,3,146,5,6,2,2,Management,Yes,827658
92.0,80.9,27497,Male,7.87,Tier 2 - Mid Colleges,Thapar University,ME,2,0,6,1,1,3,3,2,1,199,7,16,1,4,Automotive,No,1771974
83.8,85.7,12193,Female,8.27,Tier 2 - Mid Colleges,Thapar University,CSE,0,0,6,1,3,2,5,4,0,125,2,13,2,1,Machine Learning,No,2622472
78.7,79.1,12417,Female,8.05,Tier 2 - Mid Colleges,NIT Rourkela,ME,2,1,4,1,1,3,3,1,0,236,5,7,3,1,Automotive,No,1670259
81.1,80.7,25804,Male,7.61,Tier 2 - Mid Colleges,IIIT Bangalore,ME,1,0,4,1,1,4,3,3,2,146,5,9,4,0,Robotics,No,1829422
80.6,92.0,95319,Female,7.1,Tier 3 - Private/State,VIT Vellore,CSE,3,1,4,1,3,2,5,3,0,243,4,16,5,3,Data Science,No,1692402
94.0,69.7,4316,Female,7.02,Tier 1 - Other IIT/Top NIT,NIT Warangal,Other,0,0,1,1,1,3,2,3,0,102,5,14,5,1,Management,No,2483777
81.3,83.7,10350,Female,7.03,Tier 2 - Mid Colleges,NSUT Delhi,ECE,2,0,3,1,0,4,3,4,1,196,8,9,2,0,IoT Development,No,2153181
81.0,68.2,73079,Male,8.95,Tier 3 - Private/State,Jadavpur University,CSE,2,3,5,4,3,3,3,3,3,196,5,12,2,3,Data Science,No,1814976
85.7,72.1,32786,Male,9.48,Tier 2 - Mid Colleges,DTU Delhi,Other,2,0,8,1,3,3,4,2,2,209,6,13,3,3,Core Engineering,No,1910523
82.1,82.3,19921,Female,9.25,Tier 2 - Mid Colleges,DTU Delhi,ECE,0,0,4,1,3,3,1,3,1,87,6,11,2,3,Embedded Systems,No,2122047
80.9,65.9,61673,Other,8.62,Tier 3 - Private/State,KIIT Bhubaneswar,EE,4,0,0,1,2,3,3,2,3,329,6,11,1,2,Renewable Energy,No,1192504
86.4,79.8,53556,Male,8.76,Tier 3 - Private/State,VIT Vellore,CSE,1,2,2,2,0,3,2,1,0,146,2,11,4,3,Cyber Security,No,1532711
83.4,72.7,18390,Other,7.56,Tier 2 - Mid Colleges,DTU Delhi,ME,0,0,2,1,1,3,4,3,0,116,7,9,1,2,Thermal Engineering,No,1754250
88.3,85.7,23917,Female,7.7,Tier 2 - Mid Colleges,BIT Mesra,ME,1,0,4,1,1,3,3,2,1,137,6,16,1,3,Robotics,No,1686378
79.6,76.9,31480,Other,9.45,Tier 2 - Mid Colleges,IIIT Bangalore,Other,0,0,2,1,0,4,3,2,0,103,3,7,0,2,Management,Yes,1831884
79.7,79.7,57601,Female,8.88,Tier 3 - Private/State,SRM Chennai,ME,0,0,5,1,1,3,2,2,0,95,7,11,2,4,Thermal Engineering,No,1171783
87.9,85.5,26677,Female,9.0,Tier 2 - Mid Colleges,DTU Delhi,ME,2,2,5,3,3,3,4,2,3,197,10,17,3,4,Automotive,No,1987322
83.4,82.5,38368,Female,7.53,Tier 2 - Mid Colleges,NSUT Delhi,EE,3,1,5,2,4,3,2,2,2,261,12,13,2,3,Power Systems,No,1862058
84.0,80.0,42656,Male,9.16,Tier 3 - Private/State,Manipal Institute,ECE,2,1,5,2,1,2,4,2,2,205,3,7,3,2,IoT Development,Yes,1528649
81.6,77.8,22800,Male,7.88,Tier 2 - Mid Colleges,NSUT Delhi,ECE,6,5,7,5,4,3,2,3,3,455,12,12,3,4,IoT Development,No,2419089
81.5,91.8,47117,Female,6.97,Tier 3 - Private/State,SRM Chennai,CSE,0,0,3,1,0,3,3,3,3,101,7,4,1,2,Data Science,No,1655467
90.3,78.7,17872,Female,7.96,Tier 2 - Mid Colleges,IIIT Bangalore,ME,2,2,3,2,0,2,4,2,3,196,3,14,0,3,Thermal Engineering,No,1824967
86.8,79.1,109713,Male,9.38,Tier 4 - Other,Regional Institute,Other,1,2,5,3,2,3,3,2,1,150,4,11,1,3,Research,Yes,844577
82.6,82.5,134577,Other,10.0,Tier 4 - Other,Private Engineering College,ECE,1,1,8,2,3,2,2,2,3,148,4,7,2,2,IoT Development,Yes,985059
87.8,93.0,23262,Other,8.11,Tier 2 - Mid Colleges,NSUT Delhi,CSE,2,2,7,3,3,3,3,4,3,212,5,12,3,2,Full Stack,No,2419021
73.7,73.7,113491,Male,8.2,Tier 4 - Other,Local State College,Other,3,4,3,4,3,3,2,5,1,250,7,14,2,3,Core Engineering,No,854564
79.4,85.7,11161,Male,10.0,Tier 2 - Mid Colleges,NIT Calicut,Other,0,0,2,1,0,2,3,3,0,106,7,4,0,3,Research,No,1782379
81.2,87.3,12613,Male,8.02,Tier 2 - Mid Colleges,DTU Delhi,Other,3,2,7,3,3,4,3,1,1,215,6,16,5,2,Research,Yes,2069243
76.0,82.8,35434,Male,7.88,Tier 2 - Mid Colleges,NSUT Delhi,ECE,1,0,3,1,0,3,2,2,4,155,8,9,0,2,Embedded Systems,No,2088591
91.7,89.2,3947,Female,8.78,Tier 1 - Other IIT/Top NIT,IIT Roorkee,EE,3,3,6,4,0,2,2,3,3,249,6,10,4,4,Power Systems,Yes,3414246
81.2,73.9,2155,Other,8.58,Tier 1 - Top IIT,IIT Bombay,ME,2,0,2,1,1,4,4,4,2,168,4,8,6,3,Thermal Engineering,No,4320836
79.0,82.0,41128,Female,7.82,Tier 3 - Private/State,KIIT Bhubaneswar,EE,1,1,5,2,0,3,3,3,1,136,5,6,3,3,Power Systems,No,1172458
83.6,89.5,11069,Other,8.22,Tier 2 - Mid Colleges,NIT Calicut,ECE,0,0,2,1,0,4,4,2,2,110,9,9,2,4,IoT Development,No,2062078
80.6,86.0,29897,Other,8.4,Tier 2 - Mid Colleges,DTU Delhi,Other,3,1,5,2,2,3,3,4,3,239,5,10,1,3,Management,No,2055956
89.2,81.5,11162,Other,7.71,Tier 2 - Mid Colleges,Thapar University,Other,3,2,9,3,2,2,2,2,3,255,8,12,0,2,Management,No,1930123
78.2,82.9,87389,Female,9.01,Tier 3 - Private/State,SRM Chennai,CSE,2,3,8,4,1,2,4,2,3,203,6,13,2,2,Cyber Security,No,1611134
76.8,83.4,48183,Other,7.66,Tier 3 - Private/State,SRM Chennai,CSE,1,2,4,2,1,2,3,2,1,157,1,7,2,1,Data Science,No,1675741
83.0,88.7,29487,Male,8.4,Tier 2 - Mid Colleges,DTU Delhi,CSE,4,6,4,5,1,3,3,3,1,345,5,14,3,1,Cyber Security,No,2846644
85.2,70.4,8526,Female,9.06,Tier 1 - Other IIT/Top NIT,NIT Surathkal,CSE,4,2,4,2,1,2,2,4,4,287,7,13,3,2,Data Science,No,4245563
68.6,74.3,52380,Male,9.47,Tier 3 - Private/State,PES University,CSE,2,2,3,2,2,3,1,3,2,184,6,11,2,1,Full Stack,No,1504357
87.1,77.6,14383,Male,9.19,Tier 2 - Mid Colleges,IIIT Bangalore,CSE,2,0,4,1,1,3,3,3,3,225,5,6,1,4,Full Stack,No,2203697
86.5,82.8,131631,Female,8.54,Tier 4 - Other,Private Engineering College,ECE,3,1,1,1,0,2,2,1,3,262,5,8,1,2,Embedded Systems,No,803924
76.6,77.8,62467,Other,8.31,Tier 3 - Private/State,VIT Vellore,ME,1,2,6,3,0,2,3,4,2,140,4,4,1,1,Automotive,No,1259620
79.9,77.4,47247,Female,9.02,Tier 3 - Private/State,Jadavpur University,CSE,0,0,2,1,0,4,3,4,0,97,9,12,1,2,Cyber Security,No,1566810
89.5,86.8,250000,Female,8.88,Tier 4 - Other,Local State College,EE,0,0,6,1,0,5,2,4,1,94,7,9,2,2,Renewable Energy,No,738048
80.3,87.8,56637,Male,8.26,Tier 3 - Private/State,KIIT Bhubaneswar,ME,2,1,6,2,3,4,3,2,1,206,2,14,3,3,Thermal Engineering,No,1204709
91.5,77.8,110545,Male,9.48,Tier 4 - Other,Private Engineering College,ECE,0,0,3,1,0,3,3,3,4,100,5,10,4,4,Embedded Systems,Yes,999500
95.9,75.2,9116,Other,9.8,Tier 1 - Other IIT/Top NIT,IIT Guwahati,EE,1,0,4,1,2,3,4,2,4,165,4,15,1,3,Renewable Energy,No,2571164
76.9,74.6,13034,Other,9.21,Tier 2 - Mid Colleges,NIT Rourkela,ECE,4,3,2,3,2,4,4,3,0,305,4,11,3,2,VLSI Design,No,2835763
88.5,88.3,15796,Other,8.89,Tier 2 - Mid Colleges,DTU Delhi,Other,4,2,7,3,2,4,2,3,3,295,3,8,4,3,Research,No,2064464
82.2,84.4,12918,Male,8.0,Tier 2 - Mid Colleges,NSUT Delhi,CSE,0,0,1,1,0,3,4,2,0,111,6,5,1,4,Cyber Security,No,2199786
84.5,80.1,32555,Female,9.14,Tier 2 - Mid Colleges,Thapar University,CSE,1,2,3,2,1,4,3,3,2,152,7,13,1,2,Data Science,No,2606773
88.1,75.9,37152,Female,8.22,Tier 2 - Mid Colleges,IIIT Bangalore,ECE,2,2,6,3,2,4,3,3,4,161,9,14,4,2,Embedded Systems,No,2325027
89.1,83.0,7226,Female,7.73,Tier 1 - Other IIT/Top NIT,IIT Guwahati,Other,1,0,4,1,1,3,2,2,0,168,3,15,2,2,Management,No,2626929
79.5,84.3,83768,Other,6.84,Tier 3 - Private/State,PES University,EE,0,0,6,1,1,4,3,2,0,94,7,5,1,2,Smart Grids,No,1170691
94.5,69.9,54753,Other,8.29,Tier 3 - Private/State,VIT Vellore,Other,0,0,3,1,2,2,3,4,2,102,6,10,0,0,Core Engineering,Yes,1412453
80.1,77.9,6590,Male,8.26,Tier 1 - Other IIT/Top NIT,IIT Roorkee,Other,2,1,4,1,2,3,1,1,0,210,11,21,1,1,Core Engineering,Yes,2741374
72.9,70.9,22944,Other,9.01,Tier 2 - Mid Colleges,BIT Mesra,CSE,1,0,0,1,1,4,4,2,2,161,6,13,1,1,Machine Learning,No,2496691
86.9,77.5,6039,Other,7.46,Tier 1 - Other IIT/Top NIT,IIT Roorkee,CSE,2,0,5,1,3,3,2,3,2,175,6,9,1,2,Machine Learning,No,3856627
85.2,71.7,22192,Female,9.24,Tier 2 - Mid Colleges,BIT Mesra,ECE,2,2,2,2,1,3,3,3,2,206,6,8,4,0,Embedded Systems,No,2221067
90.0,70.1,109714,Other,9.37,Tier 4 - Other,Local State College,ME,0,0,5,1,1,3,1,2,1,105,1,9,4,2,Thermal Engineering,No,676228
82.9,87.2,4681,Male,8.2,Tier 1 - Other IIT/Top NIT,IIT Roorkee,ME,0,0,5,1,1,5,1,1,2,74,1,17,1,4,Automotive,No,2436193
85.6,83.1,13302,Other,8.17,Tier 2 - Mid Colleges,DTU Delhi,Other,2,1,3,1,1,4,4,2,3,200,7,14,4,1,Research,No,1813201
92.3,74.8,28356,Male,9.34,Tier 2 - Mid Colleges,BIT Mesra,ECE,3,0,4,1,5,3,3,2,2,250,9,15,3,2,IoT Development,Yes,2341769
